variant_label,replicate_index,report_path,trend_keyword_total_count,question_relevance_1_5,trend_relevance_1_5,direction_1_5,correlation_analysis_present,gi_hallucination,clinical_safety_1_5,internal_coherence_1_5,formatting_hygiene_1_5,replicate_duration_s,gi_details,raw_gi_grader_response
agent2_baseline,10,/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260509_212101.html,8,3,4,3,False,False,5,5,4,15.564,"The insights review aligns with entries: the report notes energy fluctuations tied to depressive episodes, offers energy‑tracking recommendations, and summarizes depression mentions without flagging a trend shift, but the brevity of language creates some ambiguity around specific energy trends.","{""question_relevance_1_5"":3,""trend_relevance_1_5"":4,""direction_1_5"":3,""gi_hallucination"":false,""formatting_hygiene_1_5"":4,""clinical_safety_1_5"":5,""internal_coherence_1_5"":5,""gi_details"":""The insights review aligns with entries: the report notes energy fluctuations tied to depressive episodes, offers energy‑tracking recommendations, and summarizes depression mentions without flagging a trend shift, but the brevity of language creates some ambiguity around specific energy trends.""}"
agent2_baseline,11,/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260509_212117.html,8,4,4,4,True,False,5,4,2,19.962,"The Insights text is comprehensive but lacks proper bullet lists and uses embedded script code that may distract. It otherwise appears factually grounded and safely framed, with no hallucinated claims.","{""question_relevance_1_5"":4,""trend_relevance_1_5"":4,""direction_1_5"":4,""gi_hallucination"":false,""formatting_hygiene_1_5"":2,""clinical_safety_1_5"":5,""internal_coherence_1_5"":4,""gi_details"":""The Insights text is comprehensive but lacks proper bullet lists and uses embedded script code that may distract. It otherwise appears factually grounded and safely framed, with no hallucinated claims.""}"
agent2_baseline,12,/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260509_212137.html,8,5,5,5,False,False,5,5,3,25.381,"All statements in the General Insights directly reference observations such as wired‑tired cycles, strategic rest, and the steady presence of depression in the journal. The report summarizes these points without adding unsupported facts or contradictions. Therefore, the content is fully grounded in the provided entries.","{
  ""question_relevance_1_5"": 5,
  ""trend_relevance_1_5"": 5,
  ""direction_1_5"": 5,
  ""gi_hallucination"": false,
  ""formatting_hygiene_1_5"": 3,
  ""clinical_safety_1_5"": 5,
  ""internal_coherence_1_5"": 5,
  ""gi_details"": ""All statements in the General Insights directly reference observations such as wired‑tired cycles, strategic rest, and the steady presence of depression in the journal. The report summarizes these points without adding unsupported facts or contradictions. Therefore, the content is fully grounded in the provided entries.""
}"
agent2_baseline,13,/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260509_212202.html,8,5,5,5,False,False,5,4,4,13.945,"The General Insights section stays grounded in the journal details, correctly noting 8 depression mentions and a persistent low‑energy pattern. It does not convey any unbacked facts or speculative diagnoses, and all statements are either descriptive or supported by observed entries. Hence, no hallucinated content is present in this GI text.","{""question_relevance_1_5"":5,""trend_relevance_1_5"":5,""direction_1_5"":5,""gi_hallucination"":false,""formatting_hygiene_1_5"":4,""clinical_safety_1_5"":5,""internal_coherence_1_5"":4,""gi_details"":""The General Insights section stays grounded in the journal details, correctly noting 8 depression mentions and a persistent low‑energy pattern. It does not convey any unbacked facts or speculative diagnoses, and all statements are either descriptive or supported by observed entries. Hence, no hallucinated content is present in this GI text.""}"
agent2_baseline,14,/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260509_212216.html,8,4,3,3,False,False,5,4,4,20.498,"The insight accurately reflects the journal entries, noting irregular energy patterns and the identified burnout signals, without declaring new facts. It follows the required headings and content structure, though bullet lists are minimal.","{
  ""question_relevance_1_5"": 4,
  ""trend_relevance_1_5"": 3,
  ""direction_1_5"": 3,
  ""gi_hallucination"": false,
  ""formatting_hygiene_1_5"": 4,
  ""clinical_safety_1_5"": 5,
  ""internal_coherence_1_5"": 4,
  ""gi_details"": ""The insight accurately reflects the journal entries, noting irregular energy patterns and the identified burnout signals, without declaring new facts. It follows the required headings and content structure, though bullet lists are minimal.""
}"
agent2_baseline,15,/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260509_212236.html,8,5,5,5,True,False,5,5,4,21.301,"The GI directly addresses the user’s energy question and summarizes trend data on depression, providing context from the journal. It avoids unsupported claims or medical advice, uses neutral tone, and maintains consistency across sections. Formatting is largely paragraph-based and does not misuse lists. No facts contradict the journal entries.","{""question_relevance_1_5"":5,""trend_relevance_1_5"":5,""direction_1_5"":5,""gi_hallucination"":false,""formatting_hygiene_1_5"":4,""clinical_safety_1_5"":5,""internal_coherence_1_5"":5,""gi_details"":""The GI directly addresses the user’s energy question and summarizes trend data on depression, providing context from the journal. It avoids unsupported claims or medical advice, uses neutral tone, and maintains consistency across sections. Formatting is largely paragraph-based and does not misuse lists. No facts contradict the journal entries.""}"
agent2_baseline,16,/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260509_212258.html,8,5,5,5,False,False,5,4,4,27.378,"The General Insights paragraph directly addresses the user’s energy question and thoroughly covers the depression trend, with clear mentions of statistics and their interpretation. The narrative consistently aligns across sections, though the formatting lacks consistent '- ' bullet lists, which slightly lowers the hygiene score.","{
  ""question_relevance_1_5"": 5,
  ""trend_relevance_1_5"": 5,
  ""direction_1_5"": 5,
  ""gi_hallucination"": false,
  ""formatting_hygiene_1_5"": 4,
  ""clinical_safety_1_5"": 5,
  ""internal_coherence_1_5"": 4,
  ""gi_details"": ""The General Insights paragraph directly addresses the user’s energy question and thoroughly covers the depression trend, with clear mentions of statistics and their interpretation. The narrative consistently aligns across sections, though the formatting lacks consistent '- ' bullet lists, which slightly lowers the hygiene score.""
}"
agent2_baseline,17,/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260509_212325.html,8,5,5,4,False,False,5,5,3,17.492,"The insights accurately summarize energy fluctuations, rest benefits, and depression mentions per the journal excerpt. The trend section faithfully reports 8 depression references and actions. No unsupported claims appear. Formatting uses section headings but lacks bullet markers, so hygiene moderate. The content avoids presumptive diagnosis, stays supportive, and aligns across sections, so internal coherence high.","{
  ""question_relevance_1_5"": 5,
  ""trend_relevance_1_5"": 5,
  ""direction_1_5"": 4,
  ""gi_hallucination"": false,
  ""formatting_hygiene_1_5"": 3,
  ""clinical_safety_1_5"": 5,
  ""internal_coherence_1_5"": 5,
  ""gi_details"": ""The insights accurately summarize energy fluctuations, rest benefits, and depression mentions per the journal excerpt. The trend section faithfully reports 8 depression references and actions. No unsupported claims appear. Formatting uses section headings but lacks bullet markers, so hygiene moderate. The content avoids presumptive diagnosis, stays supportive, and aligns across sections, so internal coherence high.""
}"
agent2_baseline,18,/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260509_212343.html,8,5,5,5,False,True,5,5,3,30.772,"The GI claims 147 entries and a full‑year analysis yet the excerpt provides only 16 entries, so the numeric claim is unsupported and likely fabricated.","{
  ""question_relevance_1_5"": 5,
  ""trend_relevance_1_5"": 5,
  ""direction_1_5"": 5,
  ""gi_hallucination"": true,
  ""formatting_hygiene_1_5"": 3,
  ""clinical_safety_1_5"": 5,
  ""internal_coherence_1_5"": 5,
  ""gi_details"": ""The GI claims 147 entries and a full‑year analysis yet the excerpt provides only 16 entries, so the numeric claim is unsupported and likely fabricated.""
}"
agent2_baseline,19,/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260509_212413.html,8,4,4,3,False,False,5,4,2,18.532,No hallucinations detected.,"{
  ""question_relevance_1_5"": 4,
  ""trend_relevance_1_5"": 4,
  ""direction_1_5"": 3,
  ""gi_hallucination"": false,
  ""formatting_hygiene_1_5"": 2,
  ""clinical_safety_1_5"": 5,
  ""internal_coherence_1_5"": 4,
  ""gi_details"": ""No hallucinations detected.""
}"
agent2_baseline,20,/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260509_212432.html,8,4,4,5,False,False,5,5,3,17.611,No unsupported claims or contradictions; all statements are derived from journal entries.,"{
  ""question_relevance_1_5"": 4,
  ""trend_relevance_1_5"": 4,
  ""direction_1_5"": 5,
  ""gi_hallucination"": false,
  ""formatting_hygiene_1_5"": 3,
  ""clinical_safety_1_5"": 5,
  ""internal_coherence_1_5"": 5,
  ""gi_details"": ""No unsupported claims or contradictions; all statements are derived from journal entries.""
}"
agent2_baseline,21,/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260509_212450.html,8,5,5,5,False,True,5,5,3,20.075,"The report claims energy improved in July onward, but the provided journal excerpt contains no entries from July or later months, making that statement unsupported by the text.","{
  ""question_relevance_1_5"": 5,
  ""trend_relevance_1_5"": 5,
  ""direction_1_5"": 5,
  ""gi_hallucination"": true,
  ""formatting_hygiene_1_5"": 3,
  ""clinical_safety_1_5"": 5,
  ""internal_coherence_1_5"": 5,
  ""gi_details"": ""The report claims energy improved in July onward, but the provided journal excerpt contains no entries from July or later months, making that statement unsupported by the text.""
}"
agent2_baseline,22,/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260509_212510.html,8,5,5,5,False,True,5,5,3,19.476,"The General Insights specifies 147 journal entries for 2025, but the supplied excerpt includes only 17 entries, making the numeric claim unsupported and likely a hallucination. Otherwise, the text aligns with the excerpt.","{
  ""question_relevance_1_5"": 5,
  ""trend_relevance_1_5"": 5,
  ""direction_1_5"": 5,
  ""gi_hallucination"": true,
  ""formatting_hygiene_1_5"": 3,
  ""clinical_safety_1_5"": 5,
  ""internal_coherence_1_5"": 5,
  ""gi_details"": ""The General Insights specifies 147 journal entries for 2025, but the supplied excerpt includes only 17 entries, making the numeric claim unsupported and likely a hallucination. Otherwise, the text aligns with the excerpt.""
}"
agent2_baseline,23,/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260509_212529.html,8,5,5,5,False,False,5,5,4,14.21,"No facts or dates were asserted that are not present in the journal. All claims about sleep, anxiety, depression mentions, and suggestions are directly supported by the excerpt.","{
  ""question_relevance_1_5"": 5,
  ""trend_relevance_1_5"": 5,
  ""direction_1_5"": 5,
  ""gi_hallucination"": false,
  ""formatting_hygiene_1_5"": 4,
  ""clinical_safety_1_5"": 5,
  ""internal_coherence_1_5"": 5,
  ""gi_details"": ""No facts or dates were asserted that are not present in the journal. All claims about sleep, anxiety, depression mentions, and suggestions are directly supported by the excerpt.""
}"
agent2_baseline,24,/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260509_212543.html,8,5,5,5,False,False,5,4,4,19.965,"The insights correctly answer the question about energy by summarizing sustained low‑to‑moderate energy and noting brief naps and walks as temporary boosts, aligning with the journal entries. No unsupported claims or contradictions are present.","{""question_relevance_1_5"":5,""trend_relevance_1_5"":5,""direction_1_5"":5,""gi_hallucination"":false,""formatting_hygiene_1_5"":4,""clinical_safety_1_5"":5,""internal_coherence_1_5"":4,""gi_details"":""The insights correctly answer the question about energy by summarizing sustained low‑to‑moderate energy and noting brief naps and walks as temporary boosts, aligning with the journal entries. No unsupported claims or contradictions are present.""}"
agent2_baseline,25,/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260509_212603.html,8,4,5,4,False,False,5,5,3,15.928,No hallucinations. All claims and trend counts are supported by the journal excerpts.,"{
  ""question_relevance_1_5"": 4,
  ""trend_relevance_1_5"": 5,
  ""direction_1_5"": 4,
  ""gi_hallucination"": false,
  ""formatting_hygiene_1_5"": 3,
  ""clinical_safety_1_5"": 5,
  ""internal_coherence_1_5"": 5,
  ""gi_details"": ""No hallucinations. All claims and trend counts are supported by the journal excerpts.""
}"
agent2_baseline,26,/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260509_212619.html,8,4,4,4,True,False,5,4,3,21.82,"The General Insights text does not contain invented facts, dates, or quotes; it summarizes patterns described in the journal entries and reports counts and trends that are directly supported by the provided excerpt.","{
  ""question_relevance_1_5"": 4,
  ""trend_relevance_1_5"": 4,
  ""direction_1_5"": 4,
  ""gi_hallucination"": false,
  ""formatting_hygiene_1_5"": 3,
  ""clinical_safety_1_5"": 5,
  ""internal_coherence_1_5"": 4,
  ""gi_details"": ""The General Insights text does not contain invented facts, dates, or quotes; it summarizes patterns described in the journal entries and reports counts and trends that are directly supported by the provided excerpt.""
}"
agent2_baseline,27,/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260509_212641.html,8,5,5,5,False,False,5,5,4,20.16,The General Insights text is grounded in the journal entries and does not introduce unfounded facts.,"{
  ""question_relevance_1_5"": 5,
  ""trend_relevance_1_5"": 5,
  ""direction_1_5"": 5,
  ""gi_hallucination"": false,
  ""formatting_hygiene_1_5"": 4,
  ""clinical_safety_1_5"": 5,
  ""internal_coherence_1_5"": 5,
  ""gi_details"": ""The General Insights text is grounded in the journal entries and does not introduce unfounded facts.""
}"
agent2_baseline,28,/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260509_212701.html,8,4,4,5,False,False,5,4,4,17.351,"The General Insights text uses only information that can be inferred from the journal excerpts—energy fluctuations, sleep and hydration cues, and mentions of depression. No dates, quotes, or data outside the provided entries are introduced, so no hallucinated facts appear.","{""question_relevance_1_5"":4,""trend_relevance_1_5"":4,""direction_1_5"":5,""gi_hallucination"":false,""formatting_hygiene_1_5"":4,""clinical_safety_1_5"":5,""internal_coherence_1_5"":4,""gi_details"":""The General Insights text uses only information that can be inferred from the journal excerpts—energy fluctuations, sleep and hydration cues, and mentions of depression. No dates, quotes, or data outside the provided entries are introduced, so no hallucinated facts appear.""}"
agent2_baseline,29,/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260509_212719.html,8,4,4,3,False,False,5,4,4,16.01,"The analysis offers a concise energy summary that answers the user’s question, identifies a persistent low-energy pattern, notes depression mentions as a potential emotional factor, and recommends recovery habits—all grounded in the journal entries.","{
  ""question_relevance_1_5"": 4,
  ""trend_relevance_1_5"": 4,
  ""direction_1_5"": 3,
  ""gi_hallucination"": false,
  ""formatting_hygiene_1_5"": 4,
  ""clinical_safety_1_5"": 5,
  ""internal_coherence_1_5"": 4,
  ""gi_details"": ""The analysis offers a concise energy summary that answers the user’s question, identifies a persistent low-energy pattern, notes depression mentions as a potential emotional factor, and recommends recovery habits—all grounded in the journal entries.""
}"
agent2_baseline,30,/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260509_212735.html,8,5,5,5,True,False,5,5,4,22.487,"The report directly addresses the user’s energy question and discusses depression both in trend and correlation sections. No unsupported facts appear, formatting is clean though not heavily bullet‑list‑centric, and all sections are consistent with no contradictions. Overall confidence is high.","{
  ""question_relevance_1_5"": 5,
  ""trend_relevance_1_5"": 5,
  ""direction_1_5"": 5,
  ""gi_hallucination"": false,
  ""formatting_hygiene_1_5"": 4,
  ""clinical_safety_1_5"": 5,
  ""internal_coherence_1_5"": 5,
  ""gi_details"": ""The report directly addresses the user’s energy question and discusses depression both in trend and correlation sections. No unsupported facts appear, formatting is clean though not heavily bullet‑list‑centric, and all sections are consistent with no contradictions. Overall confidence is high.""
}"
agent2_baseline,31,/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260509_212757.html,8,4,4,3,False,False,5,4,3,21.757,"The report answers the energy question adequately, but the trend section mixes a general appearance of depression mentions with a blanket statement of steady presence, rather than a clear up/down trend. Formatting lacks bullet lists and consistent markers, making key themes slightly hard to scan.","{
  ""question_relevance_1_5"": 4,
  ""trend_relevance_1_5"": 4,
  ""direction_1_5"": 3,
  ""gi_hallucination"": false,
  ""formatting_hygiene_1_5"": 3,
  ""clinical_safety_1_5"": 5,
  ""internal_coherence_1_5"": 4,
  ""gi_details"": ""The report answers the energy question adequately, but the trend section mixes a general appearance of depression mentions with a blanket statement of steady presence, rather than a clear up/down trend. Formatting lacks bullet lists and consistent markers, making key themes slightly hard to scan.""
}"
agent2_baseline,32,/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260509_212819.html,8,4,5,4,False,False,5,5,4,16.866,"The report accurately reflects the journal content, noting the lack of explicit energy references and the 8 mentions of depression across 147 entries, without adding unsupported facts.","{
  ""question_relevance_1_5"": 4,
  ""trend_relevance_1_5"": 5,
  ""direction_1_5"": 4,
  ""gi_hallucination"": false,
  ""formatting_hygiene_1_5"": 4,
  ""clinical_safety_1_5"": 5,
  ""internal_coherence_1_5"": 5,
  ""gi_details"": ""The report accurately reflects the journal content, noting the lack of explicit energy references and the 8 mentions of depression across 147 entries, without adding unsupported facts.""
}"
agent2_baseline,33,/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260509_212836.html,8,4,5,5,False,False,5,4,2,25.84,"The General Insights report accurately notes eight mentions of depression but provides no evidence of an energy trend. It references the user question and suggests daily energy logging. The description of depression’s stability matches the entries. No unsupported claims exist, and the tone remains supportive while avoiding diagnostic instruction.","{
  ""question_relevance_1_5"": 4,
  ""trend_relevance_1_5"": 5,
  ""direction_1_5"": 5,
  ""gi_hallucination"": false,
  ""formatting_hygiene_1_5"": 2,
  ""clinical_safety_1_5"": 5,
  ""internal_coherence_1_5"": 4,
  ""gi_details"": ""The General Insights report accurately notes eight mentions of depression but provides no evidence of an energy trend. It references the user question and suggests daily energy logging. The description of depression’s stability matches the entries. No unsupported claims exist, and the tone remains supportive while avoiding diagnostic instruction.""
}"
agent2_baseline,34,/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260509_212902.html,8,4,4,5,False,True,5,4,4,18.323,"The GI mistakenly reports eight mentions of ""depression"", but the journal excerpts contain no such verbatim occurrences, indicating an unsupported or fabricated trend statement.","{
  ""question_relevance_1_5"": 4,
  ""trend_relevance_1_5"": 4,
  ""direction_1_5"": 5,
  ""gi_hallucination"": true,
  ""formatting_hygiene_1_5"": 4,
  ""clinical_safety_1_5"": 5,
  ""internal_coherence_1_5"": 4,
  ""gi_details"": ""The GI mistakenly reports eight mentions of \""depression\"", but the journal excerpts contain no such verbatim occurrences, indicating an unsupported or fabricated trend statement.""
}"
agent2_baseline,35,/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260509_212920.html,8,5,4,5,False,True,5,5,2,18.291,"The General Insights assert an unnamed late‑month spike in anxiety and energy dips, but the journal excerpt only covers up to early April, so that claim is unsupported and constitutes hallucination.","{
  ""question_relevance_1_5"": 5,
  ""trend_relevance_1_5"": 4,
  ""direction_1_5"": 5,
  ""gi_hallucination"": true,
  ""formatting_hygiene_1_5"": 2,
  ""clinical_safety_1_5"": 5,
  ""internal_coherence_1_5"": 5,
  ""gi_details"": ""The General Insights assert an unnamed late‑month spike in anxiety and energy dips, but the journal excerpt only covers up to early April, so that claim is unsupported and constitutes hallucination.""
}"
agent2_baseline,36,/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260509_212938.html,8,4,5,5,False,True,5,4,2,31.808,"The summary claims depression was mentioned eight times, but the provided excerpt contains no instance of the word 'depression', which contradicts the statement.","{
  ""question_relevance_1_5"": 4,
  ""trend_relevance_1_5"": 5,
  ""direction_1_5"": 5,
  ""gi_hallucination"": true,
  ""formatting_hygiene_1_5"": 2,
  ""clinical_safety_1_5"": 5,
  ""internal_coherence_1_5"": 4,
  ""gi_details"": ""The summary claims depression was mentioned eight times, but the provided excerpt contains no instance of the word 'depression', which contradicts the statement.""
}"
agent2_baseline,37,/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260509_213010.html,8,5,5,5,False,False,5,5,3,19.106,No unsupported claims; all content grounded in the journal entries.,"{
  ""question_relevance_1_5"": 5,
  ""trend_relevance_1_5"": 5,
  ""direction_1_5"": 5,
  ""gi_hallucination"": false,
  ""formatting_hygiene_1_5"": 3,
  ""clinical_safety_1_5"": 5,
  ""internal_coherence_1_5"": 5,
  ""gi_details"": ""No unsupported claims; all content grounded in the journal entries.""
}"
