variant_label,replicate_index,qc_level,k10_total,frequency_rubric_mean,evidence_relevance_mean,hallucination,qc_overall_score,details,report_path,tier2_skipped_reason,raw_grader_response
LLM_c_qwen,1,end_to_end,38,3.8,4.1,False,3.95,"The entries show frequent fatigue, anxiety and a sense of exhausting effort; restlessness and nervousness recur, but marked sadness is absent. Evidence supports high frequency for tiredness, nervousness and effort. The report correctly reflects diary content with no fabrications. Strengths include consistent grounding and napping practices; concerns remain chronic sleep disruption and late‑night scrolling.",/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260412_000124.html,,"{
  ""frequency_rubric_per_item"": [5,5,3,4,4,1,5,3,4,4],
  ""frequency_rubric_mean"": 3.80,
  ""evidence_relevance_per_item"": [5,5,3,5,5,1,5,3,5,4],
  ""evidence_relevance_mean"": 4.10,
  ""hallucination"": false,
  ""details"": ""The entries show frequent fatigue, anxiety and a sense of exhausting effort; restlessness and nervousness recur, but marked sadness is absent. Evidence supports high frequency for tiredness, nervousness and effort. The report correctly reflects diary content with no fabrications. Strengths include consistent grounding and napping practices; concerns remain chronic sleep disruption and late‑night scrolling.""
}"
LLM_c_qwen,1,rag_aware,38,,,,,,/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260412_000124.html,rag_unavailable_or_empty,
LLM_a_nemotron,0,end_to_end,37,3.0,4.8,False,3.9,"The diary shows moderate anxiety and frequent restlessness, occasional depressive rumination, with evidence largely consistent but some links (hopelessness, worthlessness) weaker. No major factual errors detected.",/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260412_001659.html,,"{
  ""frequency_rubric_per_item"": [3, 3, 2, 3, 4, 3, 3, 2, 3, 4],
  ""frequency_rubric_mean"": 3.0,
  ""evidence_relevance_per_item"": [5, 5, 5, 4, 5, 5, 5, 4, 5, 5],
  ""evidence_relevance_mean"": 4.8,
  ""hallucination"": false,
  ""details"": ""The diary shows moderate anxiety and frequent restlessness, occasional depressive rumination, with evidence largely consistent but some links (hopelessness, worthlessness) weaker. No major factual errors detected.""
}"
LLM_a_nemotron,0,rag_aware,37,,,,,,/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260412_001659.html,rag_unavailable_or_empty,
LLM_a_nemotron,1,end_to_end,45,3.3,3.3,False,3.3,"The journal frequently reports tiredness, nervousness, and restless hypervigilance, with moderate depressive symptoms. Coping practices include grounding techniques, structured planning, and creative pursuits, indicating resilience despite high distress.",/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260412_001737.html,,"{
  ""frequency_rubric_per_item"": [5,4,4,2,3,5,2,5,2,1],
  ""frequency_rubric_mean"": 3.30,
  ""evidence_relevance_per_item"": [5,4,4,2,3,5,2,5,2,1],
  ""evidence_relevance_mean"": 3.30,
  ""hallucination"": false,
  ""details"": ""The journal frequently reports tiredness, nervousness, and restless hypervigilance, with moderate depressive symptoms. Coping practices include grounding techniques, structured planning, and creative pursuits, indicating resilience despite high distress.""
}"
LLM_a_nemotron,1,rag_aware,45,,,,,,/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260412_001737.html,rag_unavailable_or_empty,
LLM_a_nemotron,2,end_to_end,44,4.2,5.0,False,4.6,"The report accurately reflects recurring anxiety, restlessness, and depressive‑like language across many entries, with evidence tied appropriately to each K‑10 theme. Frequencies were judged based on cross‑entry recurrence, not single‑sentence intensity, and all evidence appears consistent with diary content. No unsupported facts or contradictions were found.",/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260412_001814.html,,"{""frequency_rubric_per_item"":[5,5,4,3,5,3,3,4,5,5],""frequency_rubric_mean"":4.20,""evidence_relevance_per_item"":[5,5,5,5,5,5,5,5,5,5],""evidence_relevance_mean"":5.00,""hallucination"":false,""details"":""The report accurately reflects recurring anxiety, restlessness, and depressive‑like language across many entries, with evidence tied appropriately to each K‑10 theme. Frequencies were judged based on cross‑entry recurrence, not single‑sentence intensity, and all evidence appears consistent with diary content. No unsupported facts or contradictions were found.""}"
LLM_a_nemotron,2,rag_aware,44,,,,,,/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260412_001814.html,rag_unavailable_or_empty,
LLM_a_nemotron,3,end_to_end,23,2.1,1.0,False,1.55,"The report assigns high frequency to fatigue and nervousness but low frequency to hopelessness, worthlessness, and depression, with all evidence marked as minimal.",/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260412_001852.html,,"{
  ""frequency_rubric_per_item"": [4, 4, 3, 1, 1, 2, 3, 1, 1, 1],
  ""frequency_rubric_mean"": 2.10,
  ""evidence_relevance_per_item"": [1, 1, 1, 1, 1, 1, 1, 1, 1, 1],
  ""evidence_relevance_mean"": 1.00,
  ""hallucination"": false,
  ""details"": ""The report assigns high frequency to fatigue and nervousness but low frequency to hopelessness, worthlessness, and depression, with all evidence marked as minimal.""
}"
LLM_a_nemotron,3,rag_aware,23,,,,,,/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260412_001852.html,rag_unavailable_or_empty,
LLM_a_nemotron,0,end_to_end,34,3.0,3.8,True,3.4,"Evidence mix right but some lines unclear; overall high frequency of nervousness, moderate anxiety, lower hopelessness; hallucination flagged for unsupported evidence.",/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260412_002034.html,,"{
  ""frequency_rubric_per_item"": [4,5,3,2,4,2,3,3,2,2],
  ""frequency_rubric_mean"": 3.00,
  ""evidence_relevance_per_item"": [2,5,4,4,4,4,4,4,3,4],
  ""evidence_relevance_mean"": 3.80,
  ""hallucination"": true,
  ""details"": ""Evidence mix right but some lines unclear; overall high frequency of nervousness, moderate anxiety, lower hopelessness; hallucination flagged for unsupported evidence.""
}"
LLM_a_nemotron,0,rag_aware,34,,,,,,/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260412_002034.html,rag_unavailable_or_empty,
LLM_a_nemotron,1,end_to_end,40,2.8,1.8,True,2.3,"Diary reveals frequent tiredness, nervousness, hopelessness and restlessness tied to daily stressors, with moderate evidence for other symptoms. Scores indicate relatively high anxiety‑driven distress, while evidence relevance is low for many items.",/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260412_002128.html,,"{
  ""frequency_rubric_per_item"": [5,5,1,4,1,1,2,1,3,5],
  ""frequency_rubric_mean"": 2.80,
  ""evidence_relevance_per_item"": [3,3,1,1,1,1,1,1,3,3],
  ""evidence_relevance_mean"": 1.80,
  ""hallucination"": true,
  ""details"": ""Diary reveals frequent tiredness, nervousness, hopelessness and restlessness tied to daily stressors, with moderate evidence for other symptoms. Scores indicate relatively high anxiety‑driven distress, while evidence relevance is low for many items.""
}"
LLM_a_nemotron,1,rag_aware,40,,,,,,/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260412_002128.html,rag_unavailable_or_empty,
LLM_a_nemotron,2,end_to_end,30,3.2,1.0,True,2.1,"Journal shows persistent fatigue, anxiety, and restlessness, with sporadic hopelessness and depression. Report misattributes evidence, indicating hallucination. Frequent grounding practices suggest coping attempts; routine creation is a notable strength.",/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260412_002213.html,,"{
  ""frequency_rubric_per_item"": [4,4,3,2,4,3,3,3,3,3],
  ""frequency_rubric_mean"": 3.20,
  ""evidence_relevance_per_item"": [1,1,1,1,1,1,1,1,1,1],
  ""evidence_relevance_mean"": 1.00,
  ""hallucination"": true,
  ""details"": ""Journal shows persistent fatigue, anxiety, and restlessness, with sporadic hopelessness and depression. Report misattributes evidence, indicating hallucination. Frequent grounding practices suggest coping attempts; routine creation is a notable strength.""
}"
LLM_a_nemotron,2,rag_aware,30,,,,,,/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260412_002213.html,rag_unavailable_or_empty,
LLM_a_nemotron,3,end_to_end,36,3.0,2.6,False,2.8,"The journal reveals recurrent anxiety, restlessness, a sense of futility, and mild low mood. Engagement in grounding practice and structured productivity suggests coping efforts amid persistent distress.",/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260412_002300.html,,"{""frequency_rubric_per_item"":[4,4,3,3,3,2,3,3,3,2],""frequency_rubric_mean"":3.00,""evidence_relevance_per_item"":[2,2,3,3,3,2,3,3,3,2],""evidence_relevance_mean"":2.40,""hallucination"":false,""details"":""The journal reveals recurrent anxiety, restlessness, a sense of futility, and mild low mood. Engagement in grounding practice and structured productivity suggests coping efforts amid persistent distress.""}"
LLM_a_nemotron,3,rag_aware,36,,,,,,/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260412_002300.html,rag_unavailable_or_empty,
LLM_a_nemotron,4,end_to_end,37,3.9,4.0,False,3.95,"The report assigns high frequency and relevance scores, yet it lacks thorough evidence citations for each item and provides a total score without clear source verification.",/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260412_002329.html,,"{
  ""frequency_rubric_per_item"": [4,4,4,4,4,4,4,3,4,4],
  ""frequency_rubric_mean"": 3.80,
  ""evidence_relevance_per_item"": [4,4,4,4,4,4,4,4,4,4],
  ""evidence_relevance_mean"": 4.00,
  ""hallucination"": false,
  ""details"": ""The report assigns high frequency and relevance scores, yet it lacks thorough evidence citations for each item and provides a total score without clear source verification.""
}"
LLM_a_nemotron,4,rag_aware,37,,,,,,/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260412_002329.html,rag_unavailable_or_empty,
LLM_a_nemotron,5,end_to_end,35,3.4,2.3,True,2.85,"Frequent fatigue, anxiety, and restlessness dominate, with moderate depressive symptoms; evidence sometimes off‑target, raising concerns about accuracy.",/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260412_002403.html,,"{
  ""frequency_rubric_per_item"": [4,4,3,3,4,3,3,3,3,4],
  ""frequency_rubric_mean"": 3.40,
  ""evidence_relevance_per_item"": [4,1,3,1,2,1,3,3,4,1],
  ""evidence_relevance_mean"": 2.30,
  ""hallucination"": true,
  ""details"": ""Frequent fatigue, anxiety, and restlessness dominate, with moderate depressive symptoms; evidence sometimes off‑target, raising concerns about accuracy.""
}"
LLM_a_nemotron,5,rag_aware,35,,,,,,/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260412_002403.html,rag_unavailable_or_empty,
LLM_a_nemotron,6,end_to_end,50,3.3,2.0,True,2.65,"The journal shows frequent fatigue, anxiety, and restlessness, with occasional hopelessness and low self‑worth. The report cites non‑existent December entries, indicating hallucination.",/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260412_002450.html,,"{
  ""frequency_rubric_per_item"": [4,5,3,2,4,3,2,2,4,4],
  ""frequency_rubric_mean"": 3.30,
  ""evidence_relevance_per_item"": [2,2,2,2,2,2,2,2,2,2],
  ""evidence_relevance_mean"": 2.00,
  ""hallucination"": true,
  ""details"": ""The journal shows frequent fatigue, anxiety, and restlessness, with occasional hopelessness and low self‑worth. The report cites non‑existent December entries, indicating hallucination.""
}"
LLM_a_nemotron,6,rag_aware,50,,,,,,/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260412_002450.html,rag_unavailable_or_empty,
LLM_a_nemotron,7,end_to_end,45,5.0,4.0,False,4.5,Report accurately reflects diary evidence; frequencies justified; evidence relevant; no fabrication.,/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260412_002537.html,,"{
  ""frequency_rubric_per_item"": [5,5,5,5,5,5,5,5,5,5],
  ""frequency_rubric_mean"": 5.00,
  ""evidence_relevance_per_item"": [4,4,4,4,4,4,4,4,4,4],
  ""evidence_relevance_mean"": 4.00,
  ""hallucination"": false,
  ""details"": ""Report accurately reflects diary evidence; frequencies justified; evidence relevant; no fabrication.""
}"
LLM_a_nemotron,7,rag_aware,45,,,,,,/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260412_002537.html,rag_unavailable_or_empty,
LLM_a_nemotron,8,end_to_end,43,5.0,1.0,False,3.0,"The report lists K‑10 scores but offers no item‑specific evidence; frequencies are inferred from repeated diary mentions, hence high, while evidence relevance is low.",/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260412_002602.html,,"{
  ""frequency_rubric_per_item"": [5,5,5,5,5,5,5,5,5,5],
  ""frequency_rubric_mean"": 5.00,
  ""evidence_relevance_per_item"": [1,1,1,1,1,1,1,1,1,1],
  ""evidence_relevance_mean"": 1.00,
  ""hallucination"": false,
  ""details"": ""The report lists K‑10 scores but offers no item‑specific evidence; frequencies are inferred from repeated diary mentions, hence high, while evidence relevance is low.""
}"
LLM_a_nemotron,8,rag_aware,43,,,,,,/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260412_002602.html,rag_unavailable_or_empty,
LLM_a_nemotron,9,end_to_end,47,5.0,5.0,False,5.0,"The report reflects pervasive anxiety, fatigue, restlessness and depressive symptoms, yet documents regular use of grounding, productivity rituals and supportive social interactions.",/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260412_002626.html,,"{
  ""frequency_rubric_per_item"": [5,5,5,5,5,5,5,5,5,5],
  ""frequency_rubric_mean"": 5.00,
  ""evidence_relevance_per_item"": [5,5,5,5,5,5,5,5,5,5],
  ""evidence_relevance_mean"": 5.00,
  ""hallucination"": false,
  ""details"": ""The report reflects pervasive anxiety, fatigue, restlessness and depressive symptoms, yet documents regular use of grounding, productivity rituals and supportive social interactions.""
}"
LLM_a_nemotron,9,rag_aware,47,,,,,,/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260412_002626.html,rag_unavailable_or_empty,
LLM_a_nemotron,10,end_to_end,37,2.6,2.6,True,2.6,"Journal shows chronic fatigue and hypervigilance, with frequent low energy and mood dips. Productivity routines persist, yet hopelessness, worthlessness, and acute restlessness evidence is sparse.",/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260412_002706.html,,"{
  ""frequency_rubric_per_item"": [4,2,2,2,2,2,4,1,5,2],
  ""frequency_rubric_mean"": 2.60,
  ""evidence_relevance_per_item"": [4,3,2,2,2,2,4,1,4,2],
  ""evidence_relevance_mean"": 2.60,
  ""hallucination"": true,
  ""details"": ""Journal shows chronic fatigue and hypervigilance, with frequent low energy and mood dips. Productivity routines persist, yet hopelessness, worthlessness, and acute restlessness evidence is sparse.""
}"
LLM_a_nemotron,10,rag_aware,37,,,,,,/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260412_002706.html,rag_unavailable_or_empty,
LLM_a_nemotron,11,end_to_end,43,5.0,1.1,True,3.05,"The report claims high K‑10 scores but provides scant, mismatched evidence, suggesting hallucination. Frequency ratings likely overstated, yet the diary shows frequent distress themes.",/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260412_002740.html,,"{
  ""frequency_rubric_per_item"": [5,5,5,5,5,5,5,5,5,5],
  ""frequency_rubric_mean"": 5.00,
  ""evidence_relevance_per_item"": [2,1,1,1,1,1,1,1,1,1],
  ""evidence_relevance_mean"": 1.10,
  ""hallucination"": true,
  ""details"": ""The report claims high K‑10 scores but provides scant, mismatched evidence, suggesting hallucination. Frequency ratings likely overstated, yet the diary shows frequent distress themes.""
}"
LLM_a_nemotron,11,rag_aware,43,,,,,,/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260412_002740.html,rag_unavailable_or_empty,
LLM_a_nemotron,12,end_to_end,36,2.0,2.2,True,2.1,"Report provides selected single‑entry references, many of which are irrelevant or fabricated, causing low frequency validity and inaccurate symptom representation; evidence relevance is mixed, with only a few items directly supported by the diary. The summary offers limited insight, and hallucinations such as invented entry details and an unjustified total score undermine reliability.",/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260412_002821.html,,"{
  ""frequency_rubric_per_item"": [2,2,2,2,2,2,2,2,2,2],
  ""frequency_rubric_mean"": 2.00,
  ""evidence_relevance_per_item"": [4,1,1,1,5,2,5,1,1,1],
  ""evidence_relevance_mean"": 2.20,
  ""hallucination"": true,
  ""details"": ""Report provides selected single‑entry references, many of which are irrelevant or fabricated, causing low frequency validity and inaccurate symptom representation; evidence relevance is mixed, with only a few items directly supported by the diary. The summary offers limited insight, and hallucinations such as invented entry details and an unjustified total score undermine reliability.""
}"
LLM_a_nemotron,12,rag_aware,36,,,,,,/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260412_002821.html,rag_unavailable_or_empty,
LLM_a_nemotron,13,end_to_end,37,2.5,5.0,False,3.75,"The summary shows very high distress with frequent nervousness, restlessness, and depressive moods across many entries, while the evidence appears consistent with the diary and no fabrication is evident.",/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260412_002848.html,,"{
  ""frequency_rubric_per_item"": [2,3,3,2,4,3,2,1,3,2],
  ""frequency_rubric_mean"": 2.5,
  ""evidence_relevance_per_item"": [5,5,5,5,5,5,5,5,5,5],
  ""evidence_relevance_mean"": 5.0,
  ""hallucination"": false,
  ""details"": ""The summary shows very high distress with frequent nervousness, restlessness, and depressive moods across many entries, while the evidence appears consistent with the diary and no fabrication is evident.""
}"
LLM_a_nemotron,13,rag_aware,37,,,,,,/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260412_002848.html,rag_unavailable_or_empty,
LLM_a_nemotron,14,end_to_end,33,2.5,4.7,True,3.6,"Report overstates a December window not present in the data; it generally captures frequent fatigue, occasional nervousness, mild hopelessness, repeated restlessness, and some depressive and self‑worth concerns. Strengths include routine grounding and creative pursuits that help manage energy.",/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260412_002916.html,,"{
  ""frequency_rubric_per_item"": [3,2,2,2,3,2,2,4,2,3],
  ""frequency_rubric_mean"": 2.30,
  ""evidence_relevance_per_item"": [5,4,4,4,5,5,5,5,5,5],
  ""evidence_relevance_mean"": 4.70,
  ""hallucination"": true,
  ""details"": ""Report overstates a December window not present in the data; it generally captures frequent fatigue, occasional nervousness, mild hopelessness, repeated restlessness, and some depressive and self‑worth concerns. Strengths include routine grounding and creative pursuits that help manage energy.""
}"
LLM_a_nemotron,14,rag_aware,33,,,,,,/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260412_002916.html,rag_unavailable_or_empty,
LLM_a_nemotron,15,end_to_end,36,3.2,2.2,False,2.7,"The diary shows frequent fatigue, anxiety, and low mood across many days, with occasional motivation rituals. Evidence for restlessness and worthlessness is not well‑aligned, but overall distress appears high.",/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260412_002951.html,,"{""frequency_rubric_per_item"":[4,4,3,4,3,2,4,3,2,3],""frequency_rubric_mean"":3.40,""evidence_relevance_per_item"":[3,3,2,4,1,1,3,2,1,2],""evidence_relevance_mean"":2.20,""hallucination"":false,""details"":""The diary shows frequent fatigue, anxiety, and low mood across many days, with occasional motivation rituals. Evidence for restlessness and worthlessness is not well‑aligned, but overall distress appears high.""}"
LLM_a_nemotron,15,rag_aware,36,,,,,,/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260412_002951.html,rag_unavailable_or_empty,
LLM_a_nemotron,16,end_to_end,46,3.1,4.0,False,3.55,"The report highlights widespread fatigue and anxiety but notes hopelessness, sadness, worthlessness, depression, and restlessness notably less often, matching the journal entries.",/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260412_003036.html,,"{
  ""frequency_rubric_per_item"": [5,5,4,2,5,2,2,2,2,2],
  ""frequency_rubric_mean"": 3.10,
  ""evidence_relevance_per_item"": [4,4,4,4,4,4,4,4,4,4],
  ""evidence_relevance_mean"": 4.00,
  ""hallucination"": false,
  ""details"": ""The report highlights widespread fatigue and anxiety but notes hopelessness, sadness, worthlessness, depression, and restlessness notably less often, matching the journal entries.""
}"
LLM_a_nemotron,16,rag_aware,46,,,,,,/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260412_003036.html,rag_unavailable_or_empty,
LLM_a_nemotron,17,end_to_end,44,5.0,5.0,False,5.0,"The report accurately reflects strong self‑observance and consistent coping strategies across the diary. It recognizes persistent high anxiety, restlessness, and depressive mood, yet highlights effective grounding, structured routines, and strategic rest periods that serve as strengths in managing distress.",/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260412_003123.html,,"{""frequency_rubric_per_item"":[5,5,5,5,5,5,5,5,5,5],""frequency_rubric_mean"":5.00,""evidence_relevance_per_item"":[5,5,5,5,5,5,5,5,5,5],""evidence_relevance_mean"":5.00,""hallucination"":false,""details"":""The report accurately reflects strong self‑observance and consistent coping strategies across the diary. It recognizes persistent high anxiety, restlessness, and depressive mood, yet highlights effective grounding, structured routines, and strategic rest periods that serve as strengths in managing distress.""}"
LLM_a_nemotron,17,rag_aware,44,,,,,,/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260412_003123.html,rag_unavailable_or_empty,
LLM_a_nemotron,18,end_to_end,34,2.0,1.1,False,1.55,"Report lacks specific item-level evidence, making frequency judgments uncertain. Evidence provided is sparse and partly unclear, especially for item 1. Overall, the report’s estimated high distress may overstate symptom prevalence without strong textual backing. Strength: it outlines general trends and overall distress level.",/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260412_003149.html,,"{""frequency_rubric_per_item"":[2,2,2,2,2,2,2,2,2,2],""frequency_rubric_mean"":2.00,""evidence_relevance_per_item"":[2,1,1,1,1,1,1,1,1,1],""evidence_relevance_mean"":1.30,""hallucination"":false,""details"":""Report lacks specific item-level evidence, making frequency judgments uncertain. Evidence provided is sparse and partly unclear, especially for item 1. Overall, the report’s estimated high distress may overstate symptom prevalence without strong textual backing. Strength: it outlines general trends and overall distress level.""}"
LLM_a_nemotron,18,rag_aware,34,,,,,,/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260412_003149.html,rag_unavailable_or_empty,
LLM_a_nemotron,19,end_to_end,46,3.9,4.3,True,4.1,"The journal shows near‑constant fatigue, depression and effort‑related strain, justifying high frequency scores. Evidence matching is clear for most items but the report misattribues hopelessness to the extreme nervousness item, indicating a hallucinated mapping.",/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260412_003219.html,,"{
  ""frequency_rubric_per_item"": [5,4,3,3,4,4,4,3,5,4],
  ""frequency_rubric_mean"": 3.90,
  ""evidence_relevance_per_item"": [2,5,1,5,5,5,5,5,5,5],
  ""evidence_relevance_mean"": 4.30,
  ""hallucination"": true,
  ""details"": ""The journal shows near‑constant fatigue, depression and effort‑related strain, justifying high frequency scores. Evidence matching is clear for most items but the report misattribues hopelessness to the extreme nervousness item, indicating a hallucinated mapping.""
}"
LLM_a_nemotron,19,rag_aware,46,,,,,,/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260412_003219.html,rag_unavailable_or_empty,
