variant_label,replicate_index,k10_total,frequency_rubric_mean,evidence_relevance_mean,hallucination,details,report_path,raw_grader_response
prompt_baseline,10,20,2.5,2.7,FALSE,"The report captures moderate distress across the journal; anxiety and restlessness are well supported, while several items lack evidence or frequency support, suggesting under‑capture of less frequent symptoms.",/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260508_171722.html,"{
  ""frequency_rubric_per_item"": [3,4,2,1,3,3,3,1,3,2],
  ""frequency_rubric_mean"": 2.50,
  ""evidence_relevance_per_item"": [4,4,1,1,4,3,4,1,4,1],
  ""evidence_relevance_mean"": 2.70,
  ""hallucination"": false,
  ""details"": ""The report captures moderate distress across the journal; anxiety and restlessness are well supported, while several items lack evidence or frequency support, suggesting under‑capture of less frequent symptoms.""
}"
prompt_baseline,11,31,2.8,3.6,FALSE,"The report shows clear evidence for some items but omits evidence for four symptoms, leading to lower frequency ratings. Overall, it captures many diary themes accurately but lacks comprehensive justification for several K-10 items.",/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260508_171910.html,"{
  ""frequency_rubric_per_item"": [3,4,1,1,3,3,3,4,3,3],
  ""frequency_rubric_mean"": 2.80,
  ""evidence_relevance_per_item"": [5,5,1,1,5,5,4,1,4,5],
  ""evidence_relevance_mean"": 3.60,
  ""hallucination"": false,
  ""details"": ""The report shows clear evidence for some items but omits evidence for four symptoms, leading to lower frequency ratings. Overall, it captures many diary themes accurately but lacks comprehensive justification for several K-10 items.""
}"
prompt_baseline,12,28,2.8,3.4,FALSE,"The report captures strong anxiety, fatigue, and depressive hues with many entries supporting nervousness and tiredness. Evidence for fatigue and anxiety is clear, but items on hopelessness, worthlessness, and extreme nervousness lack citations, reducing relevance. Restlessness appears partially addressed. Overall representation is credible with no evident contradictions, though some items rely on sparse or missing evidence.",/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260508_171949.html,"{
  ""frequency_rubric_per_item"": [5, 5, 2, 1, 3, 3, 3, 1, 3, 2],
  ""frequency_rubric_mean"": 2.80,
  ""evidence_relevance_per_item"": [5, 5, 1, 1, 3, 5, 5, 1, 5, 3],
  ""evidence_relevance_mean"": 3.40,
  ""hallucination"": false,
  ""details"": ""The report captures strong anxiety, fatigue, and depressive hues with many entries supporting nervousness and tiredness. Evidence for fatigue and anxiety is clear, but items on hopelessness, worthlessness, and extreme nervousness lack citations, reducing relevance. Restlessness appears partially addressed. Overall representation is credible with no evident contradictions, though some items rely on sparse or missing evidence.""
}"
prompt_baseline,13,27,2.4,2.2,FALSE,"The report aligns correct evidence for core items 1–3 but mislabels evidence for others; most items lack relevant evidence and are scored low, reflecting sparse symptom mention across the diary.",/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260508_172111.html,"{
  ""frequency_rubric_per_item"": [4,4,4,1,2,1,3,1,3,1],
  ""frequency_rubric_mean"": 2.40,
  ""evidence_relevance_per_item"": [5,5,5,1,1,1,1,1,1,1],
  ""evidence_relevance_mean"": 2.20,
  ""hallucination"": false,
  ""details"": ""The report aligns correct evidence for core items 1–3 but mislabels evidence for others; most items lack relevant evidence and are scored low, reflecting sparse symptom mention across the diary.""
}"
prompt_baseline,14,32,3.5,4.2,FALSE,"The analysis accurately maps frequent fatigue, anxiety, and depression themes, with high evidence relevance for most items. Restlessness and worthlessness have no supporting quotes, leading to low scores. Overall distress assessment aligns with diary content, and no hallucinated facts were found.",/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260508_172202.html,"{
  ""frequency_rubric_per_item"": [4, 4, 4, 3, 2, 4, 4, 4, 4, 2],
  ""frequency_rubric_mean"": 3.5,
  ""evidence_relevance_per_item"": [5, 5, 5, 5, 1, 5, 5, 5, 5, 1],
  ""evidence_relevance_mean"": 4.2,
  ""hallucination"": false,
  ""details"": ""The analysis accurately maps frequent fatigue, anxiety, and depression themes, with high evidence relevance for most items. Restlessness and worthlessness have no supporting quotes, leading to low scores. Overall distress assessment aligns with diary content, and no hallucinated facts were found.""
}"
prompt_baseline,15,27,2.6,3,FALSE,"The diary shows frequent anxiety, nervousness, and depressive thoughts, with limited evidence of fatigue, restlessness, or hopelessness. Grounding techniques and gratitude journaling recur, suggesting some coping strategies. The K‑10 proxy reflects high distress primarily driven by nervousness and sadness, while other symptoms appear infrequent. The report’s symptom frequencies are mostly accurate but lack evidential support for several low‑scoring items.",/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260508_172303.html,"{""frequency_rubric_per_item"":[3,4,4,1,1,4,3,1,4,1],""frequency_rubric_mean"":2.60,""evidence_relevance_per_item"":[5,5,5,1,1,5,1,1,5,1],""evidence_relevance_mean"":3.00,""hallucination"":false,""details"":""The diary shows frequent anxiety, nervousness, and depressive thoughts, with limited evidence of fatigue, restlessness, or hopelessness. Grounding techniques and gratitude journaling recur, suggesting some coping strategies. The K‑10 proxy reflects high distress primarily driven by nervousness and sadness, while other symptoms appear infrequent. The report’s symptom frequencies are mostly accurate but lack evidential support for several low‑scoring items.""}"
prompt_baseline,16,25,2.6,2.2,TRUE,"Evidence references are largely mismatched to items, especially for restlessness and depression, indicating fabrication.",/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260508_172342.html,"{
  ""frequency_rubric_per_item"": [3,4,3,1,2,3,3,4,2,1],
  ""frequency_rubric_mean"": 2.60,
  ""evidence_relevance_per_item"": [1,5,5,1,1,1,1,5,1,1],
  ""evidence_relevance_mean"": 2.20,
  ""hallucination"": true,
  ""details"": ""Evidence references are largely mismatched to items, especially for restlessness and depression, indicating fabrication.""
}"
prompt_baseline,17,28,2.4,2.3,TRUE,"Report cites scores with little supporting evidence, especially on hopeless and worthless items, suggesting hallucinated data. Frequencies are weakly justified and evidence relevance is low for several items. Strength: it notes frequent anxiety cycles and some coping rituals, but lacks concrete reasoning for most K‑10 estimates.",/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260508_172507.html,"{
  ""frequency_rubric_per_item"": [3,4,2,1,2,3,2,1,4,2],
  ""frequency_rubric_mean"": 2.40,
  ""evidence_relevance_per_item"": [2,4,1,1,1,4,4,1,4,1],
  ""evidence_relevance_mean"": 2.30,
  ""hallucination"": true,
  ""details"": ""Report cites scores with little supporting evidence, especially on hopeless and worthless items, suggesting hallucinated data. Frequencies are weakly justified and evidence relevance is low for several items. Strength: it notes frequent anxiety cycles and some coping rituals, but lacks concrete reasoning for most K‑10 estimates.""
}"
prompt_baseline,18,29,2.5,3,FALSE,"The report highlights frequent anxiety and restlessness but understates fatigue and depression frequency, matching the sparse evidence in the journal.",/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260508_172552.html,"{
  ""frequency_rubric_per_item"": [2,5,1,1,5,1,5,1,3,1],
  ""frequency_rubric_mean"": 2.80,
  ""evidence_relevance_per_item"": [5,5,1,1,5,1,5,1,5,1],
  ""evidence_relevance_mean"": 3.00,
  ""hallucination"": false,
  ""details"": ""The report highlights frequent anxiety and restlessness but understates fatigue and depression frequency, matching the sparse evidence in the journal.""
}"
prompt_baseline,19,38,2,3.8,FALSE,"The summary reflects the diary but overstates some feelings with scant evidence, especially for hopeless, effort, and worthless items where no support exists. Evidence for other items is sound and role‑specific, yet the frequency assessment seems conservative, not fully capturing recurring anxiety and depression cues. Overall, no fabricated content or contradictions are present.",/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260508_172644.html,"{""frequency_rubric_per_item"":[2,3,3,1,2,2,3,1,2,1],""frequency_rubric_mean"":2.00,""evidence_relevance_per_item"":[5,5,5,1,5,5,5,1,5,1],""evidence_relevance_mean"":3.80,""hallucination"":false,""details"":""The summary reflects the diary but overstates some feelings with scant evidence, especially for hopeless, effort, and worthless items where no support exists. Evidence for other items is sound and role‑specific, yet the frequency assessment seems conservative, not fully capturing recurring anxiety and depression cues. Overall, no fabricated content or contradictions are present.""}"
prompt_baseline,20,28,2.5,3.4,FALSE,"Memo captures high anxiety and effort perception, supported by diary excerpts. Evidence is strong for nervousness and exhaustion, but several items lack supporting excerpts (hopelessness, restlessness). Report’s frequency estimates moderate, though some symptoms may be under‑reported. No contradictions found; overall K‑10 total appears reasonable. Strength: clear link between reported symptoms and diary content; Weakness: missing evidence for several items, limiting confidence.",/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260508_172730.html,"{
  ""frequency_rubric_per_item"": [3,4,2,1,1,3,4,3,3,1],
  ""frequency_rubric_mean"": 2.50,
  ""evidence_relevance_per_item"": [5,5,1,1,1,5,5,5,5,1],
  ""evidence_relevance_mean"": 3.40,
  ""hallucination"": false,
  ""details"": ""Memo captures high anxiety and effort perception, supported by diary excerpts. Evidence is strong for nervousness and exhaustion, but several items lack supporting excerpts (hopelessness, restlessness). Report’s frequency estimates moderate, though some symptoms may be under‑reported. No contradictions found; overall K‑10 total appears reasonable. Strength: clear link between reported symptoms and diary content; Weakness: missing evidence for several items, limiting confidence.""
}"
prompt_baseline,21,26,2.2,3,FALSE,"Report captures overall anxiety and fatigue, yet many K-10 items lack specific evidence and are under‑scored, reducing diagnostic clarity.",/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260508_172830.html,"{
  ""frequency_rubric_per_item"": [3,4,1,1,1,3,4,1,3,1],
  ""frequency_rubric_mean"": 2.20,
  ""evidence_relevance_per_item"": [5,5,1,1,1,5,5,1,5,1],
  ""evidence_relevance_mean"": 3.00,
  ""hallucination"": false,
  ""details"": ""Report captures overall anxiety and fatigue, yet many K-10 items lack specific evidence and are under‑scored, reducing diagnostic clarity.""
}"
prompt_baseline,22,34,2.5,3.7,FALSE,"The report cites entries that mostly support the frequency ratings, with consistent evidence for fatigue, anxiety, restlessness, and depression. Evidence was lacking for the 'worthless' item, leading to a low relevance score. Overall, the diary reflects moderate to high distress with repeated themes of exhaustion, anxiety, and depressive affect.",/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260508_172905.html,"{
  ""frequency_rubric_per_item"": [3, 3, 2, 2, 3, 3, 2, 1, 3, 3],
  ""frequency_rubric_mean"": 2.50,
  ""evidence_relevance_per_item"": [4, 4, 4, 4, 4, 4, 4, 1, 4, 4],
  ""evidence_relevance_mean"": 3.70,
  ""hallucination"": false,
  ""details"": ""The report cites entries that mostly support the frequency ratings, with consistent evidence for fatigue, anxiety, restlessness, and depression. Evidence was lacking for the 'worthless' item, leading to a low relevance score. Overall, the diary reflects moderate to high distress with repeated themes of exhaustion, anxiety, and depressive affect.""
}"
prompt_baseline,23,26,1.3,2.9,TRUE,"Report captures some journal symptoms, but frequency ratings appear low and evidence support is incomplete; several items lack justification. The overall distress score seems inflated relative to recorded entries, suggesting possible overestimation.",/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260508_172951.html,"{
  ""frequency_rubric_per_item"": [2,2,1,1,2,1,1,1,1,1],
  ""frequency_rubric_mean"": 1.30,
  ""evidence_relevance_per_item"": [5,5,1,1,4,1,5,1,5,1],
  ""evidence_relevance_mean"": 2.80,
  ""hallucination"": true,
  ""details"": ""Report captures some journal symptoms, but frequency ratings appear low and evidence support is incomplete; several items lack justification. The overall distress score seems inflated relative to recorded entries, suggesting possible overestimation.""
}"
prompt_baseline,24,27,2,3.4,FALSE,"The report gives modest evidence for several items but lacks mention for others, leading to low frequency scores in many cases. Evidence presented is generally relevant, though sometimes sparse. No novel facts are fabricated, so hallucination checks out. Overall, the summary captures some recurring themes but underrepresents the breadth of tone across the diary entries.",/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260508_173126.html,"{
  ""frequency_rubric_per_item"": [2,3,2,1,1,3,3,1,3,1],
  ""frequency_rubric_mean"": 2.00,
  ""evidence_relevance_per_item"": [5,5,5,1,1,5,5,1,5,1],
  ""evidence_relevance_mean"": 3.40,
  ""hallucination"": false,
  ""details"": ""The report gives modest evidence for several items but lacks mention for others, leading to low frequency scores in many cases. Evidence presented is generally relevant, though sometimes sparse. No novel facts are fabricated, so hallucination checks out. Overall, the summary captures some recurring themes but underrepresents the breadth of tone across the diary entries.""
}"
prompt_baseline,25,31,2.7,3.1,FALSE,"The journal shows frequent anxiety, restlessness, and depression, with moderate tiredness. Hopelessness and worthlessness are largely absent; evidence for sadness is weaker due to conflation with depression.",/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260508_173214.html,"{
  ""frequency_rubric_per_item"": [3,4,2,1,3,3,4,1,4,2],
  ""frequency_rubric_mean"": 2.90,
  ""evidence_relevance_per_item"": [5,5,1,1,4,3,5,1,5,1],
  ""evidence_relevance_mean"": 3.10,
  ""hallucination"": false,
  ""details"": ""The journal shows frequent anxiety, restlessness, and depression, with moderate tiredness. Hopelessness and worthlessness are largely absent; evidence for sadness is weaker due to conflation with depression.""
}"
prompt_baseline,26,24,2,1.9,FALSE,"The review found that fatigue, effort, and depressive mood were mentioned often, while most other symptoms were rarely referenced or lacked specific evidence. The proxy scoring seems inflated for items with minimal diary support, suggesting careful reassessment. Strengths include clear identification of low‑energy and effort‑related themes. However, several items are under‑justified or missing contextual support, raising concerns about the validity of the overall distress estimate.",/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260508_173321.html,"{
  ""frequency_rubric_per_item"": [4,3,1,1,1,1,4,1,3,1],
  ""frequency_rubric_mean"": 2.00,
  ""evidence_relevance_per_item"": [4,1,1,1,1,1,4,1,4,1],
  ""evidence_relevance_mean"": 1.90,
  ""hallucination"": false,
  ""details"": ""The review found that fatigue, effort, and depressive mood were mentioned often, while most other symptoms were rarely referenced or lacked specific evidence. The proxy scoring seems inflated for items with minimal diary support, suggesting careful reassessment. Strengths include clear identification of low‑energy and effort‑related themes. However, several items are under‑justified or missing contextual support, raising concerns about the validity of the overall distress estimate.""
}"
prompt_baseline,27,32,2.6,2.3,FALSE,"Evidence citations are sometimes missing or mismatched, lowering relevance scores. Frequency ratings are conservative but match the diary's varied expression of each symptom, and the report introduces no unsupported facts.",/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260508_173414.html,"{  
  ""frequency_rubric_per_item"": [4,4,3,1,2,2,4,1,3,2],  
  ""frequency_rubric_mean"": 2.60,  
  ""evidence_relevance_per_item"": [4,4,4,1,1,1,4,1,2,1],  
  ""evidence_relevance_mean"": 2.30,  
  ""hallucination"": false,  
  ""details"": ""Evidence citations are sometimes missing or mismatched, lowering relevance scores. Frequency ratings are conservative but match the diary's varied expression of each symptom, and the report introduces no unsupported facts.""}"
prompt_baseline,28,29,3,3,FALSE,"The report accurately reflects frequent exhaustion, nervousness, and depressive tones, but lacks evidence for several items; overall frequency and evidence scores match the diary content.",/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260508_173521.html,"{
  ""frequency_rubric_per_item"": [5, 5, 4, 1, 2, 4, 3, 1, 4, 1],
  ""frequency_rubric_mean"": 3.00,
  ""evidence_relevance_per_item"": [5, 5, 1, 1, 1, 5, 5, 1, 5, 1],
  ""evidence_relevance_mean"": 3.00,
  ""hallucination"": false,
  ""details"": ""The report accurately reflects frequent exhaustion, nervousness, and depressive tones, but lacks evidence for several items; overall frequency and evidence scores match the diary content.""
}"
prompt_baseline,29,32,2.8,3.3,FALSE,"The report’s evidence largely matches the diary themes, but some frequency scores seem conservative. No false statements were found. Evidence relevance is high for most items, with a few weak links.",/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260508_173615.html,"{
  ""frequency_rubric_per_item"": [2,4,1,2,4,4,3,4,3,1],
  ""frequency_rubric_mean"": 2.80,
  ""evidence_relevance_per_item"": [4,4,1,4,3,4,4,4,4,1],
  ""evidence_relevance_mean"": 3.30,
  ""hallucination"": false,
  ""details"": ""The report’s evidence largely matches the diary themes, but some frequency scores seem conservative. No false statements were found. Evidence relevance is high for most items, with a few weak links.""
}"
prompt_baseline,30,20,1.6,3.4,FALSE,"Report partially reflects diary content but misassigns item frequencies and omits evidence for half the items. While relevant excerpts support a few scores, lack of coverage for rest and inconsistent total cause uncertainty. No clear fabrication detected.",/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260508_173733.html,"{
  ""frequency_rubric_per_item"": [2, 2, 2, 1, 1, 2, 2, 1, 2, 1],
  ""frequency_rubric_mean"": 1.60,
  ""evidence_relevance_per_item"": [5, 5, 5, 1, 1, 5, 5, 1, 5, 1],
  ""evidence_relevance_mean"": 3.40,
  ""hallucination"": false,
  ""details"": ""Report partially reflects diary content but misassigns item frequencies and omits evidence for half the items. While relevant excerpts support a few scores, lack of coverage for rest and inconsistent total cause uncertainty. No clear fabrication detected.""
}"
prompt_baseline,31,25,1.8,1.6,TRUE,"The report overstates entry counts and omits many K-10 observations, leading to low evidence relevance and dubious frequency ratings.",/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260508_173822.html,"{
  ""frequency_rubric_per_item"": [3, 3, 1, 1, 2, 2, 1, 1, 3, 1],
  ""frequency_rubric_mean"": 1.80,
  ""evidence_relevance_per_item"": [4, 4, 1, 1, 1, 1, 1, 1, 1, 1],
  ""evidence_relevance_mean"": 1.60,
  ""hallucination"": true,
  ""details"": ""The report overstates entry counts and omits many K-10 observations, leading to low evidence relevance and dubious frequency ratings.""
}"
prompt_baseline,32,28,2.4,2.8,FALSE,"The report correctly cites many diary entries for anxiety and depression, but lacks evidence for restlessness items, leading to low evidence scores there. Frequency ratings are moderate, reflecting sporadic mention of fatigue and restlessness, yet consistent anxiety and depression across entries. Overall scoring aligns with the journal content and no contradictions were found.",/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260508_173915.html,"{
  ""frequency_rubric_per_item"": [3,4,2,2,1,3,3,1,4,1],
  ""frequency_rubric_mean"": 2.40,
  ""evidence_relevance_per_item"": [5,5,1,2,1,2,5,1,5,1],
  ""evidence_relevance_mean"": 2.80,
  ""hallucination"": false,
  ""details"": ""The report correctly cites many diary entries for anxiety and depression, but lacks evidence for restlessness items, leading to low evidence scores there. Frequency ratings are moderate, reflecting sporadic mention of fatigue and restlessness, yet consistent anxiety and depression across entries. Overall scoring aligns with the journal content and no contradictions were found.""
}"
prompt_baseline,33,31,2.8,3.5,FALSE,"The diary illustrates frequent anxiety, restless/fidgety behavior, and feelings of effort, while more intense nervousness and hopelessness are less common. Grounding rituals appear widely and help counter hypervigilance.",/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260508_174027.html,"{
  ""frequency_rubric_per_item"": [3, 4, 2, 1, 3, 3, 4, 3, 3, 2],
  ""frequency_rubric_mean"": 2.80,
  ""evidence_relevance_per_item"": [5, 5, 1, 1, 5, 5, 5, 4, 3, 1],
  ""evidence_relevance_mean"": 3.50,
  ""hallucination"": false,
  ""details"": ""The diary illustrates frequent anxiety, restless/fidgety behavior, and feelings of effort, while more intense nervousness and hopelessness are less common. Grounding rituals appear widely and help counter hypervigilance.""
}"
prompt_baseline,34,27,2.7,3.3,FALSE,"Most themes recur sparsely; anxiety dominates. Evidence maps well to many items, but several items lack concrete support, lowering frequency scores.",/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260508_174133.html,"{
  ""frequency_rubric_per_item"": [2,4,1,1,3,3,4,1,4,4],
  ""frequency_rubric_mean"": 2.70,
  ""evidence_relevance_per_item"": [5,5,1,1,4,4,4,1,4,4],
  ""evidence_relevance_mean"": 3.30,
  ""hallucination"": false,
  ""details"": ""Most themes recur sparsely; anxiety dominates. Evidence maps well to many items, but several items lack concrete support, lowering frequency scores.""
}"
